date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-02-12,75.4527,76.1574,75.146,75.5107,10753088,10753088,0.198973,0.264,75.6394,"Feb 12, 14",0
2014-02-13,75.1045,75.9833,74.947,75.8009,9776453,9776453,0.290172,0.384,75.6576,"Feb 13, 14",0.0038431639489502636
2014-02-14,76.0911,78.2882,75.9419,78.0228,18335517,18335517,2.2219,2.931,77.5579,"Feb 14, 14",0.033268132860640995
2014-02-18,77.9896,78.5285,77.401,77.9896,12981890,12981890,-0.033159,-0.042,77.9436,"Feb 18, 14",0.03282846007254595
2014-02-19,77.7658,79.0011,77.7658,77.8902,12228854,12228854,-0.099488,-0.128,78.3972,"Feb 19, 14",0.03151209033951471
2014-02-20,77.8072,79.399,77.7243,79.0674,14425193,14425193,1.1773,1.511,78.9835,"Feb 20, 14",0.04710193389810989
2014-02-21,79.1586,79.2415,78.7109,78.7855,11286050,11286050,-0.281881,-0.357,79.0049,"Feb 21, 14",0.04336868814618324
2014-02-24,79.2664,80.6261,79.1006,79.9545,16034244,16034244,1.169,1.484,80.1838,"Feb 24, 14",0.05884993782338127
2014-02-25,80.0374,80.3939,79.5566,79.8467,10664330,10664330,-0.107777,-0.135,80.0049,"Feb 25, 14",0.057422325577699565
2014-02-26,80.054,80.3027,79.2001,79.4156,9088471,9088471,-0.431109,-0.54,79.6364,"Feb 26, 14",0.051713200910599395
2014-02-27,79.2415,79.6312,78.8933,79.4571,9101165,9101165,0.041451,0.052,79.3347,"Feb 27, 14",0.05226279189571805
2014-02-28,79.5566,80.2803,79.4073,79.8136,12652612,12652612,0.356495,0.449,79.8606,"Feb 28, 14",0.05698397710523136
2014-03-03,79.3908,80.0374,78.6196,79.1752,11897226,11897226,-0.638376,-0.8,78.9423,"Mar 3, 14",0.048529546143791596
2014-03-04,80.0789,80.3027,79.4819,80.0208,12566341,12566341,0.845641,1.068,79.9561,"Mar 4, 14",0.05972795908394432
2014-03-05,78.9265,79.0011,77.43,77.7658,19836928,19836928,-2.255,-2.818,78.0797,"Mar 5, 14",0.029864641699785578
2014-03-06,77.658,77.8819,77.3264,77.7326,12612051,12612051,-0.033163,-0.043,77.6005,"Mar 6, 14",0.02942496891169073
2014-03-07,78.2384,78.8104,77.9233,78.7524,12660051,12660051,1.0197,1.312,78.5174,"Mar 7, 14",0.04293033967371504
2014-03-10,78.885,79.2166,78.4788,79.1752,9967356,9967356,0.42282,0.537,78.8866,"Mar 10, 14",0.048529546143791596
2014-03-11,79.0591,79.2498,77.5337,77.9399,12144602,12144602,-1.2353,-1.56,78.1319,"Mar 11, 14",0.03217027520603033
2014-03-12,77.6331,78.3213,77.5585,78.1057,9705872,9705872,0.165812,0.213,77.8957,"Mar 12, 14",0.034365990515251466
2014-03-13,78.2964,78.4042,77.3761,77.6331,9872689,9872689,-0.472566,-0.605,72.2989,"Mar 13, 14",0.028107274863032643
2014-03-14,77.5834,78.114,77.343,77.4922,11731826,11731826,-0.140941,-0.182,77.6621,"Mar 14, 14",0.026241314144882736
2014-03-17,77.8902,78.371,77.7243,78.1969,8676159,8676159,0.704705,0.909,78.0865,"Mar 17, 14",0.035573766366885744
